"Jour de l'An","Ste Ella","St Aubin","St Hugues","St Brieuc","St Justin","St Thierry","St Alphonse","St Gilles","Ste Thérèse E.J.","Toussaint","Ste Florence"
"St Basile","Présentation","St Charles le B.","Ste Sandrine","St Boris","Ste Blandine","St Martinien","St Julien-Eym.","Ste Ingrid","St Léger","Défunts","Ste Viviane"
"Ste Geneviève","St Blaise","St Guénolé","St Richard","St Jacques/Philippe","St Kévin","St Thomas","Ste Lydie","St Grégoire","St Gérard","St Hubert","St Xavier"
"St Odilon","Ste Véronique","St Casimir","St Isidore","St Sylvain","Ste Clotilde","St Florent","St J.-M. Vianney","Ste Rosalie","St Fr. d'Assise","St Charles","Ste Barbara"
"St Edouard","Ste Agathe","Ste Olive","Ste Irène","Ste Judith","St Igor","St Antoine","St Abel","Ste Raïssa","Ste Fleur","Ste Sylvie","St Gérald"
"St Mélaine","St Gaston","Ste Colette","St Marcellin","Ste Prudence","St Norbert","Ste Mariette","Transfiguration","St Bertrand","St Bruno","Ste Bertille","St Nicolas"
"St Raymond","Ste Eugénie","Ste Félicité","St J.-B. de la S.","Ste Gisèle","St Gilbert","St Raoul","St Gaétan","Ste Reine","St Serge","Ste Carine","St Ambroise"
"St Lucien","Ste Jacqueline","St Jean de Dieu","Ste Julie","St Désiré","St Médard","St Thibault","St Dominique","Nativité N.-D.","Ste Pélagie","St Geoffroy","Im. Concept."
"Ste Alix","Ste Appoline","Ste Françoise","St Gauthier","St Pacôme","Ste Diane","Ste Amandine","St Amour","St Alain","St Denis","St Théodore","St Pierre Fourier"
"St Guillaume","St Arnaud","St Vivien","St Fulbert","Ste Solange","St Landry","St Ulrich","St Laurent","Ste Inès","St Ghislain","St Léon","St Romaric"
"St Paulin","0","N.-D. Lourdes","Ste Rosine","St Stanislas","Ste Estelle","St Barnabé","St Benoît","Ste Claire","St Adelphe","St Firmin","St Véran","St Daniel"
"Ste Tatiana","St Félix","Ste Justine","St Jules","Ste Jeanne d'Arc","St Guy","St Olivier","Ste Clarisse","St Apollinaire","St Wilfried","St Christian","St Jean. Fr.-Ch."
"Ste Yvette","Ste Béatrice","St Rodrigue","Ste Ida","Ste Rolande","St Antoine de P.","St Henri/Joël","St Hippolyte","St Aimé","St Géraud","St Brice","Ste Lucie"
"Ste Nina","St Valentin","Ste Mathilde","St Maxime","St Matthias","St Elisée","St Camille","St Evrard","La Ste Croix","St Juste","St Sidoine","Ste Odile"
"St Rémi","St Claude","Ste Louise","St Paterne","Ste Denise","Ste Germaine","St Donald","ASSOMPTION","St Roland","Ste Thér. d'Avila","St Albert","Ste Ninon"
"St Marcel","Ste Julienne","Ste Bénédicte","St Benoît-J.","St Honoré","St J.-Fr. Régis","Ste N-D Mt-Carmel","St Armel","Ste Edith","Ste Edwige","Ste Marguerite","Ste Alice"
"Ste Roseline","St Alexis","St Patrice","St Anicet","St Pascal","St Hervé","Ste Charlotte","St Hyacinthe","St Renaud","St Baudoin","Ste Elisabeth","St Gaël"
"Ste Prisca","Ste Bernadette","St Cyrille","St Parfait","St Eric","St Léonce","St Frédéric","Ste Hélène","Ste Nadège","St Luc","Ste Aude","St Gatien"
"St Marius","St Gabin","St Joseph","Ste Emma","St Yves","St Romuald","St Arsène","St Jean-Eudes","Ste Emilie","St René","St Tanguy","St Urbain"
"St Sébastien","Ste Aimée","St Herbert","Ste Odette","St Bernardin","St Silvère","Ste Marina","St Bernard","St Davy","Ste Adeline","St Edmond","St Abraham"
"Ste Agnès","St P. Damien","St Clémence","St Anselme","St Constantin","St Rodolphe","St Victor","St Christophe","St Matthieu","Ste Céline","Prés. Marie","St Pierre C."
"St Vincent","Ste Isabelle","Ste Léa","St Alexandre","St Emile","St Alban","Ste Marie-Mad.","St Fabrice","St Maurice","Ste Elodie","Ste Cécile","Ste Françoise-Xavière"
"St Barnard","St Lazare","St Victorien","St Georges","St Didier","Ste Audrey","Ste Brigitte","Ste Rose de L.","St Constant","St Jean de C.","St Clément","St Armand"
"St Fr. de Sales","St Modeste","Ste Cath. de Suè.","St Fidèle","St Donatien","St Jean-Baptiste","Ste Christine","St Barthélemy","Ste Thècle","St Florentin","Ste Flora","Ste Adèle"
"Conv. S. Paul","St Roméo","St Humbert","St Marc","Ste Sophie","St Prosper","St Jacques le M.","St Louis","St Hermann","St Crépin","Ste Cath. L.","Noël"
"St Paul","St Nestor","Ste Larissa","Ste Alida","St Bérenger","St Anthelme","Ste Anne/Joachim","Ste Natacha","Sts Côme/Damien","St Dimitri","Ste Delphine","St Etienne"
"Ste Angèle","Ste Honorine","St Habib","Ste Zita","St Augustin","St Fernand","Ste Nathalie","Ste Monique","St Vinc. de P.","Ste Emeline","St Séverin","St Jean"
"St Th. d'Aquin","St Romain","St Gontran","Ste Valérie","St Germain","St Irénée","St Samson","St Augustin","St Venceslas","Sts Simon/Jude","St Jacq. de la M.","Sts Innocents"
"St Gildas","St Auguste","Ste Gwladys","Ste Cath. de Sienne","St Aymar","St Pierre, Paul","Ste Marthe","Ste Sabine","Sts Michel/Gabr./Raph.","St Narcisse","St Saturnin","St David"
"Ste Martine","","St Amédée","St Robert","St Ferdinand","St Martial","Ste Juliette","St Fiacre","St Jérôme","Ste Bienvenue","St André","St Roger"
"Ste Marcelle","","St Benjamin","","Visitation","","St Ignace de L.","St Aristide","","St Quentin","","St Sylvestre"
